Data info
File name: C:\Users\LattePanda\Documents\ConditionPanda\Scripts\AutomationData\LattePanda20210325111337.dxd
Start time: 3/25/2021 11:13:39.118
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 2000


Data1

Time (s),AI 1 (V)
0.00700,-0.206385105848312
0.00705,-0.211076661944389
0.00710,-0.214533060789108
0.00715,-0.217614367604256
0.00720,-0.218598991632462
0.00725,-0.216149181127548
0.00730,-0.213041499257088
0.00735,-0.211312562227249
0.00740,-0.206276684999466
0.00745,-0.200275242328644
0.00750,-0.195819586515427
0.00755,-0.191551461815834
0.00760,-0.190716296434402
0.00765,-0.187522172927856
0.00770,-0.184128776192665
0.00775,-0.183273106813431
0.00780,-0.177658468484879
0.00785,-0.175835773348808
0.00790,-0.177791804075241
0.00795,-0.173728823661804
0.00800,-0.173744931817055
0.00805,-0.170543476939201
0.00810,-0.165405035018921
0.00815,-0.164247527718544
0.00820,-0.162355959415436
0.00825,-0.158643156290054
0.00830,-0.1554314494133
0.00835,-0.151016816496849
0.00840,-0.146495223045349
0.00845,-0.142442479729652
0.00850,-0.138867408037186
0.00855,-0.136085003614426
0.00860,-0.130215421319008
0.00865,-0.127491623163223
0.00870,-0.124605186283588
0.00875,-0.122337058186531
0.00880,-0.117384701967239
0.00885,-0.114994965493679
0.00890,-0.112159810960293
0.00895,-0.108549565076828
0.00900,-0.104830898344517
0.00905,-0.101364240050316
0.00910,-0.099723219871521
0.00915,-0.100515894591808
0.00920,-0.101485855877399
0.00925,-0.100704908370972
0.00930,-0.100877799093723
0.00935,-0.101298309862614
0.00940,-0.101538598537445
0.00945,-0.101512230932713
0.00950,-0.100441172719002
0.00955,-0.100876331329346
0.00960,-0.0991371423006058
0.00965,-0.096990630030632
0.00970,-0.0967078506946564
0.00975,-0.0968411862850189
0.00980,-0.0975737795233726
0.00985,-0.0992543622851372
0.00990,-0.103635296225548
0.00995,-0.108905605971813
0.01000,-0.113570794463158
0.01005,-0.118467479944229
0.01010,-0.121213257312775
0.01015,-0.124070391058922
0.01020,-0.12340372800827
0.01025,-0.125639617443085
0.01030,-0.125063791871071
0.01035,-0.124297492206097
0.01040,-0.121772959828377
0.01045,-0.111128307878971
0.01050,-0.107575207948685
0.01055,-0.101380363106728
0.01060,-0.0950580388307571
0.01065,-0.0927049368619919
0.01070,-0.086384080350399
0.01075,-0.0765350311994553
0.01080,-0.0679694935679436
0.01085,-0.0629834309220314
0.01090,-0.0606142058968544
0.01095,-0.0589219033718109
0.01100,-0.0555211864411831
0.01105,-0.0550127625465393
0.01110,-0.0543841943144798
0.01115,-0.0476398952305317
0.01120,-0.0426963232457638
0.01125,-0.0385791212320328
0.01130,-0.036293413490057
0.01135,-0.0348751060664654
0.01140,-0.0333879329264164
0.01145,-0.0309117492288351
0.01150,-0.0284648723900318
0.01155,-0.0261366758495569
0.01160,-0.0238978546112776
0.01165,-0.0212136153131723
0.01170,-0.0197557453066111
0.01175,-0.0175564866513014
0.01180,-0.0158290192484856
0.01185,-0.014730122871697
0.01190,-0.0139096127822995
0.01195,-0.0120414877310395
0.01200,-0.0100766597315669
0.01205,-0.00918582081794739
0.01210,-0.00749791460111737
0.01215,-0.00579242594540119
0.01220,-0.0033118489664048
0.01225,-0.00235800608061254
0.01230,-0.00070233445148915
0.01235,0.000776048458646983
0.01240,0.00253135361708701
0.01245,0.00644635781645775
0.01250,0.0117342509329319
0.01255,0.0186485107988119
0.01260,0.0277766846120358
0.01265,0.0334806926548481
0.01270,0.0443656370043755
0.01275,0.0516842901706696
0.01280,0.0652168393135071
0.01285,0.0735684633255005
0.01290,0.0820328965783119
0.01295,0.0905383601784706
0.01300,0.0953442081809044
0.01305,0.105446733534336
0.01310,0.112059161067009
0.01315,0.119147785007954
0.01320,0.123736776411533
0.01325,0.126075237989426
0.01330,0.128451779484749
0.01335,0.132057622075081
0.01340,0.132217332720757
0.01345,0.132834181189537
0.01350,0.132185101509094
0.01355,0.132289126515388
0.01360,0.133473008871078
0.01365,0.132954329252243
0.01370,0.132151395082474
0.01375,0.128286212682724
0.01380,0.125987321138382
0.01385,0.122557297348976
0.01390,0.120564624667168
0.01395,0.118210054934025
0.01400,0.117865733802319
0.01405,0.117363177239895
0.01410,0.114933878183365
0.01415,0.115054026246071
0.01420,0.115792483091354
0.01425,0.115930214524269
0.01430,0.117580026388168
0.01435,0.118338994681835
0.01440,0.116929478943348
0.01445,0.113895058631897
0.01450,0.113785162568092
0.01455,0.114683330059052
0.01460,0.114646703004837
0.01465,0.114803478121758
0.01470,0.11414560675621
0.01475,0.114906042814255
0.01480,0.11551995575428
0.01485,0.117459878325462
0.01490,0.118249617516994
0.01495,0.120346315205097
0.01500,0.122588060796261
0.01505,0.124302342534065
0.01510,0.125282555818558
0.01515,0.12616753578186
0.01520,0.126541167497635
0.01525,0.125181466341019
0.01530,0.124544098973274
0.01535,0.123666450381279
0.01540,0.122859127819538
0.01545,0.120634958148003
0.01550,0.120262801647186
0.01555,0.120246678590775
0.01560,0.119168296456337
0.01565,0.117663539946079
0.01570,0.115730948746204
0.01575,0.115496516227722
0.01580,0.115941934287548
0.01585,0.116577826440334
0.01590,0.118393205106258
0.01595,0.120780013501644
0.01600,0.123311869800091
0.01605,0.125596106052399
0.01610,0.127930164337158
0.01615,0.130908906459808
0.01620,0.134837105870247
0.01625,0.138186544179916
0.01630,0.141235619783401
0.01635,0.144006296992302
0.01640,0.147251710295677
0.01645,0.149272218346596
0.01650,0.151423126459122
0.01655,0.151953533291817
0.01660,0.151279538869858
0.01665,0.150719836354256
0.01670,0.150029718875885
0.01675,0.150990888476372
0.01680,0.151439249515533
0.01685,0.15177184343338
0.01690,0.153020188212395
0.01695,0.154488310217857
0.01700,0.156478047370911
0.01705,0.158286109566689
0.01710,0.160183534026146
0.01715,0.16197107732296
0.01720,0.161553487181664
0.01725,0.160305142402649
0.01730,0.159798189997673
0.01735,0.160374015569687
0.01740,0.15861576795578
0.01745,0.155853882431984
0.01750,0.152993813157082
0.01755,0.151212140917778
0.01760,0.149842172861099
0.01765,0.147017285227776
0.01770,0.145333766937256
0.01775,0.145175531506538
0.01780,0.142500087618828
0.01785,0.139418765902519
0.01790,0.118668667972088
0.01795,0.0972284451127052
0.01800,0.0873017460107803
0.01805,0.0805017724633217
0.01810,0.0771699100732803
0.01815,0.0731391608715057
0.01820,0.0711992383003235
0.01825,0.06996700912714
0.01830,0.0684769004583359
0.01835,0.0665369853377342
0.01840,0.0645794793963432
0.01845,0.0633853450417519
0.01850,0.0615948773920536
0.01855,0.0614644736051559
0.01860,0.0602468959987164
0.01865,0.0582952536642551
0.01870,0.0577487386763096
0.01875,0.0570820719003677
0.01880,0.0556124821305275
0.01885,0.0538205467164516
0.01890,0.052897471934557
0.01895,0.0527436286211014
0.01900,0.0526718311011791
0.01905,0.0523480251431465
0.01910,0.0522176213562489
0.01915,0.0528139546513557
0.01920,0.0530527830123901
0.01925,0.0545941703021526
0.01930,0.055316511541605
0.01935,0.0557663254439831
0.01940,0.0566776804625988
0.01945,0.0566747486591339
0.01950,0.0562498420476913
0.01955,0.0546498484909534
0.01960,0.0513399690389633
0.01965,0.0480608604848385
0.01970,0.0454996973276138
0.01975,0.0442909114062786
0.01980,0.0423949472606182
0.01985,0.040613267570734
0.01990,0.0401751734316349
0.01995,0.0413238890469074
0.02000,0.04227040335536
0.02005,0.043956845998764
0.02010,0.0464169085025787
0.02015,0.0471187382936478
0.02020,0.0483700148761272
0.02025,0.049410305917263
0.02030,0.0493150688707829
0.02035,0.0487304553389549
0.02040,0.0472198389470577
0.02045,0.0474586635828018
0.02050,0.0452301017940044
0.02055,0.0425678379833698
0.02060,0.0396008156239986
0.02065,0.0330675058066845
0.02070,0.0270895063877106
0.02075,0.0250382330268621
0.02080,0.024279261007905
0.02085,0.0233444646000862
0.02090,0.0219920892268419
0.02095,0.0214572921395302
0.02100,0.0216126032173634
0.02105,0.0218543615192175
0.02110,0.0222953855991364
0.02115,0.0229649804532528
0.02120,0.0232096668332815
0.02125,0.0248111262917519
0.02130,0.0229972135275602
0.02135,0.0210924595594406
0.02140,0.0190133452415466
0.02145,0.0178558398038149
0.02150,0.0155129916965961
0.02155,0.0137239871546626
0.02160,0.0122001832351089
0.02165,0.0104053178802133
0.02170,0.00868957303464413
0.02175,0.00777822127565742
0.02180,0.00665441574528813
0.02185,0.005272735375911
0.02190,0.00442585209384561
0.02195,0.00451376382261515
0.02200,0.00357310799881816
0.02205,0.002310108859092
0.02210,0.00228520063683391
0.02215,0.0011115784291178
0.02220,-0.000151420696056448
0.02225,-0.000226145712076686
0.02230,-0.00108621583785862
0.02235,-0.00292210676707327
0.02240,-0.00506861926987767
0.02245,-0.00713308062404394
0.02250,-0.00876091327518225
0.02255,-0.011314750649035
0.02260,-0.0125674931332469
0.02265,-0.0145674860104918
0.02270,-0.0183843225240707
0.02275,-0.0216282662004232
0.02280,-0.0240751449018717
0.02285,-0.0264839269220829
0.02290,-0.0303388573229313
0.02295,-0.0330274924635887
0.02300,-0.036926381289959
0.02305,-0.0405659265816212
0.02310,-0.0425410121679306
0.02315,-0.0445864237844944
0.02320,-0.0465029031038284
0.02325,-0.0476662665605545
0.02330,-0.0476193800568581
0.02335,-0.0492208413779736
0.02340,-0.0501893348991871
0.02345,-0.0507680885493755
0.02350,-0.0492970310151577
0.02355,-0.0485204756259918
0.02360,-0.0491036251187325
0.02365,-0.0493043586611748
0.02370,-0.0485483147203922
0.02375,-0.0474552810192108
0.02380,-0.046856015920639
0.02385,-0.0474274419248104
0.02390,-0.046456016600132
0.02395,-0.0452135279774666
0.02400,-0.044357854872942
