Data info
File name: C:\Users\LattePanda\Documents\ConditionPanda\Scripts\AutomationData\LattePanda20210331154216.dxd
Start time: 3/31/2021 15:42:18.000
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 3000


Data1

Time (s),AI 1 (m/s2)
0.0000,0.00366282765753567
0.0002,0.00468396535143256
0.0004,0.00525476923212409
0.0006,0.00723967608064413
0.0008,0.00693562952801585
0.0010,0.00655987439677119
0.0012,0.00691842008382082
0.0014,0.00791374128311873
0.0016,0.00843578390777111
0.0018,0.00848167762160301
0.0020,0.00946839433163404
0.0022,0.00934218615293503
0.0024,0.0100391991436481
0.0026,0.0111234402284026
0.0028,0.0121503146365285
0.0030,0.0126235941424966
0.0032,0.0120355794206262
0.0034,0.0110173104330897
0.0036,0.0126006472855806
0.0038,0.0118491360917687
0.0040,0.0109714167192578
0.0042,0.0123740453273058
0.0044,0.0130165601149201
0.0046,0.0116512188687921
0.0048,0.0105985291302204
0.0050,0.00975809898227453
0.0052,0.0100449351593852
0.0054,0.0113873295485973
0.0056,0.00960033945739269
0.0058,0.00833252258598804
0.0060,0.00883161835372448
0.0062,0.00824360363185406
0.0064,0.00579975824803114
0.0066,0.00679794838652015
0.0068,0.00779327051714063
0.0070,0.00541252922266722
0.0072,0.00461799232289195
0.0074,0.00555881578475237
0.0076,0.0049191708676517
0.0078,0.00529205799102783
0.0080,0.00549857970327139
0.0082,0.00341614848002791
0.0084,0.00234338059090078
0.0086,0.00337025453336537
0.0088,0.00226306659169495
0.0090,0.00348785752430558
0.0092,0.00340467528440058
0.0094,0.00128782319370657
0.0096,0.000123267833259888
0.0098,0.00270766299217939
0.0100,0.00168939412105829
0.0102,0.000633836432825774
0.0104,0.000292501266812906
0.0106,-0.000246751005761325
0.0108,0.000826016708742827
0.0110,0.000983776757493615
0.0112,-0.000837633735500276
0.0114,-0.000398774223867804
0.0116,0.000275291065918282
0.0118,0.00159186962991953
0.0120,0.00244090519845486
0.0122,0.00241508986800909
0.0124,0.00145418825559318
0.0126,0.00171234097797424
0.0128,0.00232903892174363
0.0130,0.00320388982072473
0.0132,0.00270479451864958
0.0134,0.00232617044821382
0.0136,0.00319528463296592
0.0138,0.00566494511440396
0.0140,0.00740030454471707
0.0142,0.00757527491077781
0.0144,0.00707617960870266
0.0146,0.00788505841046572
0.0148,0.00806576479226351
0.0150,0.00927334558218718
0.0152,0.0109857590869069
0.0154,0.0102772731333971
0.0156,0.0101711433380842
0.0158,0.0110488627105951
0.0160,0.0112209636718035
0.0162,0.0112094907090068
0.0164,0.0110603356733918
0.0166,0.0119208451360464
0.0168,0.0122048128396273
