Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185505.dxd
Start time: 3/4/2021 18:55:09.321
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0,1.7659448
0.0002,2.4101906
0.0004,2.0181286
0.0006,1.2479988
0.0008,0.24745648
0.001,-1.0232226
0.0012,-2.0574167
0.0014,-2.3349221
0.0016,-1.7121918
0.0018,-0.94034702
0.002,0.105527
0.0022,1.2743189
0.0024,2.2637262
0.0026,2.2348592
0.0028,1.5489303
0.003,0.68524611
0.0032,-0.53368193
0.0034,-1.7065383
0.0036,-2.3234572
0.0038,-1.9656204
0.004,-1.2976962
0.0042,-0.34920892
0.0044,0.84281105
0.0046,1.9867715
0.0048,2.3648474
0.005,1.8392947
0.0052,1.0401516
0.0054,-0.082629003
0.0056,-1.3510908
0.0058,-2.2640018
0.006,-2.1978602
0.0062,-1.5282036
0.0064,-0.76666754
0.0066,0.42919308
0.0068,1.6346141
0.007,2.3132801
0.0072,2.0326624
0.0074,1.35601
0.0076,0.39336723
0.0078,-0.86550564
0.008,-1.9775757
0.0082,-2.2847228
0.0084,-1.7982055
0.0086,-1.1027652
0.0088,-0.078558803
0.009,1.2229122
0.0092,2.2790463
0.0094,2.2089348
0.0096,1.6331913
0.0098,0.80434918
0.01,-0.36056763
0.0102,-1.6059792
0.0104,-2.3792584
0.0106,-2.0634975
0.0108,-1.3127609
0.011,-0.43466035
0.0112,0.77571708
0.0114,1.9302045
0.0116,2.3086965
0.0118,1.8599784
0.012,1.1375554
0.0122,0.10719065
0.0124,-1.2110028
0.0126,-2.2128789
0.0128,-2.2089953
0.013,-1.6271564
0.0132,-0.86532211
0.0134,0.23742868
0.0136,1.5120747
0.0138,2.3538675
0.014,2.1197748
0.0142,1.4593083
0.0144,0.5013783
0.0146,-0.71524072
0.0148,-1.9187599
0.015,-2.3563631
0.0152,-1.8692491
0.0154,-1.1286033
0.0156,-0.16520917
0.0158,1.079689
0.016,2.1194332
0.0162,2.2950633
0.0164,1.7029814
0.0166,0.86453599
0.0168,-0.2964626
0.017,-1.5067741
0.0172,-2.3089547
0.0174,-2.0883002
0.0176,-1.4441004
0.0178,-0.5494895
0.018,0.58050209
0.0182,1.834906
0.0184,2.3895357
0.0186,1.9999603
0.0188,1.2388804
0.019,0.17473774
0.0192,-1.0927345
0.0194,-2.1490178
0.0196,-2.3334591
0.0198,-1.7172661
0.02,-0.9025563
0.0202,0.19134556
0.0204,1.4122126
0.0206,2.2693427
0.0208,2.2184262
0.021,1.5702136
0.0212,0.55979538
0.0214,-0.62514544
0.0216,-1.834978
0.0218,-2.3319046
0.022,-1.9414171
0.0222,-1.2374433
0.0224,-0.29844749
0.0226,0.97913003
0.0228,2.102246
0.023,2.3131683
0.0232,1.856631
0.0234,0.95226777
0.0236,-0.18056352
0.0238,-1.4479526
0.024,-2.274853
0.0242,-2.2116628
0.0244,-1.4566982
0.0246,-0.66321725
0.0248,0.51227522
0.025,1.7540957
0.0252,2.3281984
0.0254,2.0228326
0.0256,1.3131336
0.0258,0.27033168
0.026,-0.96898752
0.0262,-2.0958669
0.0264,-2.2972233
0.0266,-1.7577646
0.0268,-1.0035801
0.027,0.096239246
0.0272,1.3121756
0.0274,2.2912598
0.0276,2.2341449
0.0278,1.6111363
0.028,0.68936795
0.0282,-0.52956009
0.0284,-1.7321413
0.0286,-2.4062641
0.0288,-2.0165308
0.029,-1.245842
0.0292,-0.34616271
0.0294,0.87750393
0.0296,1.9926403
0.0298,2.3168571
0.03,1.8310739
0.0302,1.0538709
0.0304,-0.040564463
0.0306,-1.3115447
0.0308,-2.2045033
0.031,-2.1833894
0.0312,-1.5751876
0.0314,-0.74874604
0.0316,0.37025684
0.0318,1.6167383
0.032,2.3530271
0.0322,2.0620286
0.0324,1.3451818
0.0326,0.36100635
0.0328,-0.85580772
0.033,-1.9902252
0.0332,-2.3952007
0.0334,-1.8557507
0.0336,-1.0494968
0.0338,0.0027334781
0.034,1.2116624
0.0342,2.1485817
0.0344,2.2734213
0.0346,1.7021209
0.0348,0.77997661
0.035,-0.41792056
0.0352,-1.5913334
0.0354,-2.2887416
0.0356,-2.067935
0.0358,-1.4180499
0.036,-0.5304063
0.0362,0.73799241
0.0364,1.8667392
0.0366,2.3945122
0.0368,2.0469038
0.037,1.2164928
0.0372,0.029142495
0.0374,-1.2431371
0.0376,-2.2200844
0.0378,-2.2889652
0.038,-1.69818
0.0382,-0.83527309
0.0384,0.32638234
0.0386,1.563863
0.0388,2.3418748
0.039,2.1052952
0.0392,1.4966342
0.0394,0.42324981
0.0396,-0.80684763
