Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185437.dxd
Start time: 3/4/2021 18:54:41.322
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0,0.94573075
0.0002,0.98065883
0.0004,0.6921646
0.0006,0.23244347
0.0008,-0.27799895
0.001,-0.73077291
0.0012,-0.94909835
0.0014,-0.89841157
0.0016,-0.58297479
0.0018,-0.122766
0.002,0.41338551
0.0022,0.85332936
0.0024,1.0068269
0.0026,0.84204519
0.0028,0.41734385
0.003,-0.075862534
0.0032,-0.56441075
0.0034,-0.90664655
0.0036,-0.96524435
0.0038,-0.70490026
0.004,-0.28208062
0.0042,0.20261535
0.0044,0.7126447
0.0046,1.0160458
0.0048,0.97905248
0.005,0.59240866
0.0052,0.096379787
0.0054,-0.38132024
0.0056,-0.78832376
0.0058,-0.96779436
0.006,-0.86351788
0.0062,-0.45827553
0.0064,0.052080795
0.0066,0.55831534
0.0068,0.91763234
0.007,1.0049825
0.0072,0.77487099
0.0074,0.28319055
0.0076,-0.24839458
0.0078,-0.69355589
0.008,-0.91688085
0.0082,-0.91325527
0.0084,-0.64576608
0.0086,-0.18144985
0.0088,0.38638276
0.009,0.83975339
0.0092,0.99385613
0.0094,0.85122389
0.0096,0.48107028
0.0098,-0.011826333
0.01,-0.5520997
0.0102,-0.90715712
0.0104,-0.96170771
0.0106,-0.75670576
0.0108,-0.35687605
0.011,0.15165314
0.0112,0.68256706
0.0114,1.0091217
0.0116,0.98831159
0.0118,0.61908156
0.012,0.16149163
0.0122,-0.3134605
0.0124,-0.76454216
0.0126,-0.98353881
0.0128,-0.8507967
0.013,-0.46007404
0.0132,-0.0084531372
0.0134,0.47717503
0.0136,0.89790934
0.0138,1.0368387
0.014,0.78640175
0.0142,0.29585436
0.0144,-0.20215656
0.0146,-0.64278585
0.0148,-0.92497545
0.015,-0.95979446
0.0152,-0.68346786
0.0154,-0.20042118
0.0156,0.32987314
0.0158,0.76274639
0.016,1.0018388
0.0162,0.93085253
0.0164,0.51746124
0.0166,-0.010851089
0.0168,-0.49700135
0.017,-0.8485049
0.0172,-0.97376055
0.0174,-0.80908787
0.0176,-0.38116825
0.0178,0.13627586
0.018,0.64557087
0.0182,0.96326792
0.0184,1.0048649
0.0186,0.69900852
0.0188,0.20840085
0.019,-0.29981285
0.0192,-0.74407923
0.0194,-0.95698059
0.0196,-0.88338989
0.0198,-0.54330248
0.02,-0.070186041
0.0202,0.45677242
0.0204,0.86687368
0.0206,1.0133724
0.0208,0.81778169
0.021,0.36567894
0.0212,-0.13691278
0.0214,-0.60758531
0.0216,-0.89513868
0.0218,-0.94522601
0.022,-0.70582104
0.0222,-0.25000659
0.0224,0.28693375
0.0226,0.75552958
0.0228,0.99342012
0.023,0.92410904
0.0232,0.56071037
0.0234,0.061661128
0.0236,-0.4638201
0.0238,-0.83228707
0.024,-0.9512955
0.0242,-0.80900174
0.0244,-0.43991232
0.0246,0.059538539
0.0248,0.60919434
0.025,0.97178698
0.0252,0.99846566
0.0254,0.70677602
0.0256,0.26346195
0.0258,-0.23909535
0.026,-0.7238372
0.0262,-0.97693866
0.0264,-0.90782255
0.0266,-0.55002016
0.0268,-0.10458059
0.027,0.38903025
0.0272,0.85337812
0.0274,1.054195
0.0276,0.84317243
0.0278,0.39072835
0.028,-0.072586864
0.0282,-0.54352903
0.0284,-0.88297397
0.0286,-0.97185016
0.0288,-0.73245376
0.029,-0.26838994
0.0292,0.24352108
0.0294,0.69401759
0.0296,0.9761498
0.0298,0.98511338
0.03,0.62234288
0.0302,0.093213119
0.0304,-0.42464402
0.0306,-0.80336541
0.0308,-0.95489818
0.031,-0.86261433
0.0312,-0.47696006
0.0314,0.055889979
0.0316,0.58128232
0.0318,0.93233836
0.032,1.0044692
0.0322,0.7542417
0.0324,0.31552273
0.0326,-0.19567119
0.0328,-0.68871409
0.033,-0.92612559
0.0332,-0.88997567
0.0334,-0.61687022
0.0336,-0.19183332
0.0338,0.34486321
0.034,0.81882292
0.0342,1.0286866
0.0344,0.85628945
0.0346,0.44193721
0.0348,-0.023480492
