Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304184723.dxd
Start time: 3/4/2021 18:47:53.323
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0,0.29205665
0.0002,-0.011697256
0.0004,-0.30680591
0.0006,-0.57191437
0.0008,-0.69669962
0.001,-0.61636251
0.0012,-0.33505929
0.0014,-0.021785289
0.0016,0.25961545
0.0018,0.48397022
0.002,0.56588781
0.0022,0.42832974
0.0024,0.10824908
0.0026,-0.21788953
0.0028,-0.4813171
0.003,-0.64711136
0.0032,-0.6657328
0.0034,-0.45825836
0.0036,-0.14102313
0.0038,0.16053933
0.004,0.42135385
0.0042,0.55897218
0.0044,0.51268542
0.0046,0.25506049
0.0048,-0.069635317
0.005,-0.3790026
0.0052,-0.60475707
0.0054,-0.6561926
0.0056,-0.53424704
0.0058,-0.26006594
0.006,0.058629267
0.0062,0.35350558
0.0064,0.52970344
0.0066,0.53086793
0.0068,0.34179118
0.007,0.034070347
0.0072,-0.28739282
0.0074,-0.56209594
0.0076,-0.68347645
0.0078,-0.61699069
0.008,-0.37178868
0.0082,-0.067366444
0.0084,0.24459097
0.0086,0.47548559
0.0088,0.55987573
0.009,0.44603613
0.0092,0.13767561
0.0094,-0.1803025
0.0096,-0.47061813
0.0098,-0.65479285
0.01,-0.64768219
0.0102,-0.46889707
0.0104,-0.17646751
0.0106,0.14787838
0.0108,0.42796254
0.011,0.5546295
0.0112,0.51243299
0.0114,0.28975335
0.0116,-0.013335091
0.0118,-0.35746694
0.012,-0.6082508
0.0122,-0.66127819
0.0124,-0.53357583
0.0126,-0.29725999
0.0128,-0.016774258
0.013,0.32506001
0.0132,0.55106407
0.0134,0.54891282
0.0136,0.35528684
0.0138,0.063889846
0.014,-0.23091477
0.0142,-0.53559518
0.0144,-0.69986343
0.0146,-0.62690377
0.0148,-0.37694314
0.015,-0.083985738
0.0152,0.2104259
0.0154,0.46836057
0.0156,0.59123552
0.0158,0.48171851
0.016,0.16286558
0.0162,-0.16025265
0.0164,-0.4312785
0.0166,-0.62985241
0.0168,-0.68682957
0.017,-0.51555961
0.0172,-0.19999096
0.0174,0.098493777
0.0176,0.37825957
0.0178,0.55217701
0.018,0.54237866
0.0182,0.32756698
0.0184,0.00063096808
0.0186,-0.34528786
0.0188,-0.58721423
0.019,-0.65016329
0.0192,-0.5645628
0.0194,-0.32042778
0.0196,0.0055846311
0.0198,0.34077579
0.02,0.53175998
0.0202,0.52636176
0.0204,0.38323617
0.0206,0.10989265
0.0208,-0.22435196
0.021,-0.546799
0.0212,-0.68762702
0.0214,-0.62649643
0.0216,-0.41268867
0.0218,-0.14051831
0.022,0.16747791
0.0222,0.4684954
0.0224,0.58222026
0.0226,0.45807174
0.0228,0.19856523
0.023,-0.085497372
0.0232,-0.40766042
0.0234,-0.64946914
0.0236,-0.67920548
0.0238,-0.50347233
0.024,-0.23243214
0.0242,0.053638313
0.0244,0.36844116
0.0246,0.5607993
0.0248,0.54169315
0.025,0.32002032
0.0252,0.031101588
0.0254,-0.28015596
0.0256,-0.56236273
0.0258,-0.66852373
