Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185416.dxd
Start time: 3/4/2021 18:54:20.320
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0.054,0.017998906
0.0542,0.19701917
0.0544,0.32867131
0.0546,0.33110365
0.0548,0.24023968
0.055,0.086346261
0.0552,-0.090433821
0.0554,-0.22329065
0.0556,-0.30224806
0.0558,-0.31000987
0.056,-0.20421891
0.0562,-0.023104735
0.0564,0.14413804
0.0566,0.27124667
0.0568,0.30826002
0.057,0.26591152
0.0572,0.15065208
0.0574,-0.033075165
0.0576,-0.2213373
0.0578,-0.32761589
0.058,-0.32150915
0.0582,-0.25360924
0.0584,-0.11399455
0.0586,0.062099986
0.0588,0.24278678
0.059,0.35759014
0.0592,0.31831938
0.0594,0.1898368
0.0596,0.058916107
0.0598,-0.10102382
0.06,-0.27508181
0.0602,-0.35300663
0.0604,-0.28242195
0.0606,-0.12856583
0.0608,0.037423462
0.061,0.18239912
0.0612,0.31089607
0.0614,0.36055028
0.0616,0.28301558
0.0618,0.09953212
0.062,-0.10098653
0.0622,-0.24362734
0.0624,-0.30833191
0.0626,-0.29931086
0.0628,-0.24227348
0.063,-0.076419003
0.0632,0.14668801
0.0634,0.27989477
0.0636,0.30131
0.0638,0.26124755
0.064,0.1622919
0.0642,-0.0058572688
0.0644,-0.19949186
0.0646,-0.31878707
0.0648,-0.31738731
0.065,-0.23308612
0.0652,-0.10228302
0.0654,0.063488275
0.0656,0.22985619
0.0658,0.34431535
0.066,0.34082744
0.0662,0.22428583
0.0664,0.04823719
0.0666,-0.10023214
0.0668,-0.23452604
0.067,-0.33608618
0.0672,-0.30997545
0.0674,-0.1742187
0.0676,0.0062443544
0.0678,0.17906322
0.068,0.28655225
0.0682,0.32635653
0.0684,0.28355196
0.0686,0.13536659
0.0688,-0.071422309
0.069,-0.23847863
0.0692,-0.32294333
0.0694,-0.30637565
0.0696,-0.22313291
0.0698,-0.086713552
0.07,0.10538645
0.0702,0.28644902
0.0704,0.34529346
0.0706,0.28429773
0.0708,0.17969427
0.071,0.017138397
0.0712,-0.16353978
0.0714,-0.30237716
0.0716,-0.3453567
0.0718,-0.2595152
0.072,-0.10923881
0.0722,0.051441152
0.0724,0.20446259
0.0726,0.31714335
0.0728,0.33719033
0.073,0.24988884
0.0732,0.073421411
0.0734,-0.11844338
0.0736,-0.24221323
0.0738,-0.29655725
0.074,-0.29606104
0.0742,-0.19904438
0.0744,-0.017402429
0.0746,0.16971235
0.0748,0.2967321
0.075,0.31495479
0.0752,0.26150572
0.0754,0.15238746
0.0756,-0.027619539
0.0758,-0.2180731
0.076,-0.32388988
0.0762,-0.31103387
0.0764,-0.22647455
0.0766,-0.082910106
0.0768,0.090562753
0.077,0.25607017
0.0772,0.35517785
0.0774,0.32243261
0.0776,0.1948134
0.0778,0.023792999
0.078,-0.1495479
0.0782,-0.2920109
0.0784,-0.33972898
0.0786,-0.29476738
0.0788,-0.17336392
0.079,0.028104149
0.0792,0.19769038
0.0794,0.28694236
0.0796,0.30902302
0.0798,0.24541706
0.08,0.099982455
0.0802,-0.099847786
0.0804,-0.26380053
0.0806,-0.31347483
0.0808,-0.26379767
0.081,-0.18174241
0.0812,-0.049823537
0.0814,0.15470795
0.0816,0.31751052
0.0818,0.34961894
0.082,0.26705313
0.0822,0.14383972
0.0824,-0.0059347148
0.0826,-0.17064759
0.0828,-0.31523603
0.083,-0.32939139
0.0832,-0.21607959
