Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304180834.dxd
Start time: 3/4/2021 18:09:03.337
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0,0.0029027115
0.0002,0.0069241566
0.0004,-0.0055245389
0.0006,-0.0020394779
0.0008,0.017158475
0.001,0.0017066043
0.0012,-0.0092820944
0.0014,-0.0095144315
0.0016,0.0030948918
0.0018,-0.0060121608
0.002,-0.036901563
0.0022,-0.010896983
0.0024,0.00017489836
0.0026,-0.021848392
0.0028,-0.016937755
0.003,0.015331329
0.0032,0.004282394
0.0034,-0.020586314
0.0036,0.0033874647
0.0038,0.015400169
0.004,-0.0065915696
0.0042,-0.0059863455
0.0044,0.0043827868
0.0046,0.0021970943
0.0048,-0.028216157
0.005,-0.030421929
0.0052,0.0026560323
0.0054,-0.010922798
0.0056,-0.028784094
0.0058,-0.012752813
0.006,-0.0035625785
0.0062,-0.017996181
0.0064,-0.014706168
0.0066,0.018064879
0.0068,-0.0060494496
0.007,-0.026345985
0.0072,0.0045606256
0.0074,0.016751168
0.0076,-0.016146088
0.0078,-0.044135574
0.008,-0.011763228
0.0082,0.0092905564
0.0084,-0.024318054
0.0086,-0.032610491
0.0088,-0.0067722765
0.009,0.0016578421
0.0092,-0.0076844161
0.0094,0.0089520896
0.0096,0.0092360573
0.0098,-9.1859394E-5
0.01,0.0059345714
0.0102,0.0090123247
0.0104,0.0040902137
0.0106,-0.0021484757
0.0108,-0.0093538035
0.011,-0.00042172114
0.0112,-0.004807448
0.0114,-0.012663894
0.0116,-0.0033302412
0.0118,-0.0054815137
0.012,-0.01731351
0.0122,-0.010133998
0.0124,0.0038836917
0.0126,-0.011100637
0.0128,-0.015842041
0.013,0.00038715723
0.0132,-0.0054872502
0.0134,-0.010564253
0.0136,-0.0066604107
0.0138,-0.0066690156
0.014,-0.0036428929
0.0142,-0.013713715
0.0144,-0.011843543
0.0146,-0.00061676983
0.0148,-0.0031093773
0.015,-0.00098965701
0.0152,0.011461907
0.0154,-0.0049623395
0.0156,-0.010595804
0.0158,0.013317738
0.016,0.0042106849
0.0162,-0.012207824
0.0164,-0.012709788
0.0166,0.0044975211
0.0168,0.0027392148
0.017,-0.016722627
0.0172,-0.01382558
0.0174,-0.0015690663
0.0176,0.003057603
0.0178,-0.010125393
0.018,-0.0012908351
0.0182,0.012462965
0.0184,-0.011992697
